shipment_id,dispatch_date,day_of_week,is_weekend,region,transport_mode,carrier,product_category,distance_km,shipment_weight_kg,transportation_cost_usd,promised_delivery_days,delivery_time_days,delay_days,is_delayed,fuel_surcharge_pct,damaged_in_transit,customer_satisfaction
SHP1023,2026-04-10,Friday,False,South,Sea,Carrier B,Consumer Goods,2082.1,240.5,167.92,10.0,6.48,-3.52,False,7.6,False,4.0
SHP1024,2026-03-15,Sunday,True,East,Road,Carrier A,Perishables,122.6,548.4,35.43,3.0,1.64,-1.36,False,6.5,False,4.0
SHP1025,2026-06-20,Saturday,True,West,Rail,Carrier D,Perishables,1229.7,135.6,72.05,4.5,4.54,0.04,True,7.0,False,4.5
SHP1026,2026-01-17,Saturday,True,North,Road,Carrier A,Electronics,663.5,230.6,42.81,3.0,2.68,-0.32,False,8.8,False,4.5
SHP1027,2026-05-01,Friday,False,East,Road,Carrier D,Consumer Goods,560.7,414.1,45.55,3.0,2.12,-0.88,False,9.1,False,4.5
SHP1028,2026-01-23,Friday,False,East,Sea,Carrier B,Consumer Goods,3460.4,374.6,230.16,10.0,9.33,-0.67,False,10.7,False,4.0
SHP1029,2026-05-15,Friday,False,North,Road,Carrier D,Machinery,862.2,1397.2,141.29,3.0,2.71,-0.29,False,7.0,False,4.5
SHP1030,2026-06-21,Sunday,True,West,Sea,Carrier C,Consumer Goods,3382.2,451.7,212.01,10.0,9.51,-0.49,False,8.5,False,5.0
SHP1031,2026-06-30,Tuesday,False,North,Road,Carrier D,Electronics,494.2,135.2,33.84,3.0,1.58,-1.42,False,7.7,False,4.0
SHP1032,2026-03-12,Thursday,False,North,Road,Carrier D,Textiles,440.4,380.3,39.49,3.0,1.66,-1.34,False,7.5,False,4.0
SHP1033,2026-04-18,Saturday,True,Central,Road,Carrier A,Perishables,382.3,593.3,55.43,3.0,2.59,-0.41,False,7.9,False,5.0
SHP1034,2026-03-20,Friday,False,Central,Rail,Carrier D,Electronics,1120.8,492.0,81.7,4.5,3.44,-1.06,False,8.1,False,4.5
SHP1035,2026-06-11,Thursday,False,West,Road,Carrier B,Textiles,323.3,629.6,40.96,3.0,2.42,-0.58,False,9.0,False,4.5
SHP1036,2026-02-15,Sunday,True,South,Sea,Carrier B,Consumer Goods,2659.3,630.6,249.23,10.0,9.37,-0.63,False,7.8,False,4.0
SHP1037,2026-03-19,Thursday,False,North,Road,Carrier B,Electronics,586.3,129.2,33.09,3.0,1.88,-1.12,False,11.0,False,4.0
SHP1038,2026-01-16,Friday,False,West,Sea,Carrier B,Perishables,2902.9,321.9,213.89,10.0,8.74,-1.26,False,5.1,False,4.0
SHP1039,2026-03-12,Thursday,False,East,Road,Carrier A,Electronics,476.7,215.0,35.79,3.0,1.71,-1.29,False,10.6,False,4.5
SHP1040,2026-04-06,Monday,False,North,Sea,Carrier B,Perishables,3090.4,1358.9,275.2,10.0,8.25,-1.75,False,7.8,False,5.0
SHP1041,2026-05-27,Wednesday,False,East,Air,Carrier B,Consumer Goods,1791.9,709.3,528.19,1.5,0.51,-0.99,False,8.1,False,4.5
SHP1042,2026-01-02,Friday,False,North,Air,Carrier C,Textiles,1328.7,1088.0,686.84,1.5,0.5,-1.0,False,8.5,True,5.0
SHP1043,2026-01-10,Saturday,True,Central,Sea,Carrier D,Textiles,2731.3,90.6,227.67,10.0,9.19,-0.81,False,9.9,False,4.0
SHP1044,2026-06-27,Saturday,True,South,Air,Carrier B,Consumer Goods,1226.2,870.0,515.72,1.5,1.33,-0.17,False,6.7,False,4.5
SHP1045,2026-05-05,Tuesday,False,West,Rail,Carrier B,Electronics,1195.2,139.3,59.54,4.5,2.59,-1.91,False,7.2,False,4.5
SHP1046,2026-03-22,Sunday,True,South,Road,Carrier A,Textiles,484.4,189.4,39.81,3.0,2.76,-0.24,False,9.5,False,4.5
SHP1047,2026-05-20,Wednesday,False,East,Road,Carrier A,Textiles,633.7,495.9,57.83,3.0,1.7,-1.3,False,5.1,False,4.5
SHP1048,2026-03-11,Wednesday,False,East,Sea,Carrier A,Machinery,4730.5,871.8,266.34,10.0,11.22,1.22,True,8.4,True,3.5
SHP1049,2026-05-30,Saturday,True,North,Rail,Carrier B,Consumer Goods,739.0,371.0,84.67,4.5,2.47,-2.03,False,6.9,False,4.0
SHP1050,2026-02-01,Sunday,True,Central,Air,Carrier A,Consumer Goods,2417.1,491.4,554.34,1.5,1.72,0.22,True,6.5,False,3.5
SHP1051,2026-04-15,Wednesday,False,West,Road,Carrier D,Textiles,447.2,481.4,44.54,3.0,2.16,-0.84,False,5.2,False,4.5
SHP1052,2026-03-25,Wednesday,False,Central,Road,Carrier B,Consumer Goods,418.3,410.2,44.62,3.0,2.15,-0.85,False,10.0,False,4.0
SHP1053,2026-05-09,Saturday,True,Central,Road,Carrier B,Electronics,700.5,181.4,37.74,3.0,3.1,0.1,True,8.8,False,4.0
SHP1054,2026-02-27,Friday,False,East,Rail,Carrier C,Electronics,1093.8,111.1,61.69,4.5,2.94,-1.56,False,7.2,False,4.0
SHP1055,2026-05-26,Tuesday,False,Central,Road,Carrier A,Electronics,379.5,167.4,31.23,3.0,1.81,-1.19,False,8.2,False,5.0
SHP1056,2026-05-14,Thursday,False,North,Road,Carrier B,Perishables,547.8,1026.8,78.82,3.0,2.06,-0.94,False,6.3,False,4.0
SHP1057,2026-02-14,Saturday,True,North,Road,Carrier C,Textiles,196.9,420.2,37.75,3.0,2.38,-0.62,False,7.4,False,4.5
SHP1058,2026-04-07,Tuesday,False,North,Road,Carrier B,Machinery,499.5,1389.4,86.4,3.0,1.97,-1.03,False,8.1,False,4.5
SHP1059,2026-01-23,Friday,False,South,Rail,Carrier B,Consumer Goods,375.1,309.0,60.78,4.5,2.02,-2.48,False,8.6,False,5.0
SHP1060,2026-01-23,Friday,False,South,Road,Carrier D,Textiles,253.1,113.8,33.17,3.0,1.61,-1.39,False,9.3,False,4.5
SHP1061,2026-06-03,Wednesday,False,South,Air,Carrier D,Textiles,2209.2,578.7,483.11,1.5,1.56,0.06,True,4.9,False,3.5
SHP1062,2026-05-15,Friday,False,Central,Road,Carrier C,Electronics,20.0,56.8,25.21,3.0,0.95,-2.05,False,9.3,False,5.0
SHP1063,2026-03-20,Friday,False,South,Road,Carrier B,Electronics,810.5,265.5,47.13,3.0,2.09,-0.91,False,5.0,False,4.5
SHP1064,2026-02-13,Friday,False,South,Road,Carrier C,Textiles,616.9,263.6,43.29,3.0,2.02,-0.98,False,9.4,False,5.0
SHP1065,2026-01-27,Tuesday,False,East,Road,Carrier A,Textiles,82.3,248.5,25.62,3.0,1.09,-1.91,False,8.1,False,4.5
SHP1066,2026-01-26,Monday,False,North,Road,Carrier B,Consumer Goods,929.7,208.1,36.05,3.0,3.08,0.08,True,10.7,False,5.0
SHP1067,2026-04-07,Tuesday,False,West,Road,Carrier A,Electronics,984.8,131.8,34.95,3.0,2.83,-0.17,False,7.2,False,5.0
SHP1068,2026-02-05,Thursday,False,North,Rail,Carrier B,Electronics,836.8,84.7,67.54,4.5,2.24,-2.26,False,10.1,False,4.5
SHP1069,2026-04-19,Sunday,True,Central,Road,Carrier B,Textiles,264.7,332.8,37.38,3.0,2.62,-0.38,False,6.2,False,5.0
SHP1070,2026-02-24,Tuesday,False,West,Rail,Carrier A,Perishables,1490.2,797.0,119.53,4.5,3.66,-0.84,False,8.7,False,4.0
SHP1071,2026-03-10,Tuesday,False,North,Sea,Carrier D,Electronics,3087.5,59.5,215.27,10.0,8.68,-1.32,False,4.4,False,4.5
SHP1072,2026-03-02,Monday,False,North,Air,Carrier D,Consumer Goods,1912.7,625.1,556.48,1.5,0.77,-0.73,False,10.3,False,4.0
SHP1073,2026-05-10,Sunday,True,West,Road,Carrier C,Electronics,693.5,246.8,40.93,3.0,3.0,0.0,False,12.0,False,4.5
SHP1074,2026-02-24,Tuesday,False,West,Road,Carrier B,Machinery,419.3,1375.7,69.54,3.0,1.76,-1.24,False,7.1,True,4.5
SHP1075,2026-05-02,Saturday,True,West,Road,Carrier D,Perishables,401.8,319.2,40.64,3.0,2.35,-0.65,False,8.7,False,3.5
SHP1076,2026-04-07,Tuesday,False,West,Road,Carrier A,Electronics,195.5,322.5,28.1,3.0,2.1,-0.9,False,9.4,False,4.0
SHP1077,2026-03-21,Saturday,True,North,Sea,Carrier C,Textiles,2743.3,290.7,209.7,10.0,9.03,-0.97,False,5.4,False,4.5
SHP1078,2026-03-28,Saturday,True,South,Road,Carrier A,Consumer Goods,397.8,1004.2,72.27,3.0,2.73,-0.27,False,7.0,False,3.5
SHP1079,2026-02-07,Saturday,True,North,Road,Carrier C,Textiles,202.3,507.2,37.71,3.0,2.0,-1.0,False,6.9,False,4.5
SHP1080,2026-04-29,Wednesday,False,Central,Rail,Carrier A,Consumer Goods,498.2,508.2,71.56,4.5,2.57,-1.93,False,13.3,False,5.0
SHP1081,2026-03-19,Thursday,False,West,Air,Carrier D,Electronics,1823.5,113.4,186.91,1.5,0.5,-1.0,False,10.6,False,5.0
SHP1082,2026-06-06,Saturday,True,South,Rail,Carrier D,Consumer Goods,252.6,224.8,66.99,4.5,2.23,-2.27,False,8.1,False,4.0
SHP1083,2026-06-03,Wednesday,False,North,Road,Carrier A,Perishables,274.2,896.0,51.7,3.0,0.84,-2.16,False,10.1,False,5.0
SHP1084,2026-02-04,Wednesday,False,South,Road,Carrier B,Machinery,838.9,519.9,56.47,3.0,2.36,-0.64,False,8.9,False,5.0
SHP1085,2026-03-20,Friday,False,South,Road,Carrier D,Textiles,380.9,213.8,28.3,3.0,1.24,-1.76,False,9.7,False,3.5
SHP1086,2026-03-08,Sunday,True,West,Road,Carrier B,Consumer Goods,355.9,457.7,39.62,3.0,3.31,0.31,True,6.4,False,4.5
SHP1087,2026-03-28,Saturday,True,West,Road,Carrier D,Textiles,380.0,539.4,48.01,3.0,2.15,-0.85,False,11.2,False,4.5
SHP1088,2026-06-06,Saturday,True,Central,Road,Carrier C,Electronics,383.2,37.0,33.03,3.0,2.37,-0.63,False,7.0,False,5.0
SHP1089,2026-02-03,Tuesday,False,East,Road,Carrier B,Electronics,565.0,178.2,36.43,3.0,2.59,-0.41,False,7.1,False,4.5
SHP1090,2026-04-07,Tuesday,False,North,Road,Carrier A,Consumer Goods,551.0,275.5,40.49,3.0,1.52,-1.48,False,9.7,False,5.0
SHP1091,2026-06-18,Thursday,False,West,Road,Carrier A,Textiles,371.8,204.8,31.65,3.0,1.36,-1.64,False,9.2,False,4.0
SHP1092,2026-06-18,Thursday,False,West,Rail,Carrier C,Consumer Goods,825.2,835.0,81.31,4.5,2.87,-1.63,False,8.5,False,4.0
SHP1093,2026-05-31,Sunday,True,East,Rail,Carrier B,Perishables,1359.5,1084.0,142.04,4.5,3.95,-0.55,False,10.2,False,4.0
SHP1094,2026-03-12,Thursday,False,West,Sea,Carrier B,Perishables,1687.6,679.1,259.05,10.0,5.82,-4.18,False,6.2,False,5.0
SHP1095,2026-01-03,Saturday,True,East,Road,Carrier B,Electronics,438.5,302.8,39.14,3.0,2.77,-0.23,False,12.2,False,5.0
SHP1096,2026-02-27,Friday,False,East,Road,Carrier B,Consumer Goods,477.0,901.5,60.84,3.0,2.4,-0.6,False,7.5,False,5.0
SHP1097,2026-02-01,Sunday,True,East,Road,Carrier D,Machinery,294.7,682.5,45.67,3.0,1.79,-1.21,False,8.3,False,4.0
SHP1098,2026-01-31,Saturday,True,North,Rail,Carrier D,Consumer Goods,859.7,936.9,108.93,4.5,3.46,-1.04,False,12.2,False,5.0
SHP1099,2026-03-23,Monday,False,North,Air,Carrier B,Perishables,1161.8,1654.4,741.64,1.5,0.5,-1.0,False,7.1,False,4.5
SHP1100,2026-02-12,Thursday,False,North,Road,Carrier D,Machinery,577.4,571.3,58.67,3.0,1.3,-1.7,False,10.5,False,4.5
SHP1101,2026-05-15,Friday,False,West,Sea,Carrier C,Machinery,1894.2,2250.0,284.48,10.0,6.3,-3.7,False,8.1,False,4.5
SHP1102,2026-04-15,Wednesday,False,South,Road,Carrier B,Perishables,662.5,761.0,69.02,3.0,2.01,-0.99,False,6.8,False,4.5
SHP1103,2026-01-01,Thursday,False,East,Road,Carrier D,Consumer Goods,435.3,83.6,28.79,3.0,1.84,-1.16,False,7.7,False,4.5
SHP1104,2026-03-02,Monday,False,Central,Air,Carrier A,Consumer Goods,1486.4,429.9,310.47,1.5,1.52,0.02,True,9.6,False,4.5
SHP1105,2026-01-14,Wednesday,False,South,Sea,Carrier A,Consumer Goods,2294.4,97.2,232.93,10.0,7.39,-2.61,False,10.5,False,5.0
SHP1106,2026-06-29,Monday,False,South,Air,Carrier D,Consumer Goods,2521.5,242.8,336.71,1.5,1.01,-0.49,False,9.0,False,4.5
SHP1107,2026-01-06,Tuesday,False,West,Sea,Carrier B,Perishables,2717.8,906.5,227.34,10.0,8.43,-1.57,False,5.3,False,5.0
SHP1108,2026-04-13,Monday,False,South,Road,Carrier D,Perishables,216.6,735.2,36.99,3.0,1.45,-1.55,False,9.8,False,4.5
SHP1109,2026-01-10,Saturday,True,North,Sea,Carrier D,Consumer Goods,4761.8,522.7,281.96,10.0,12.8,2.8,True,8.2,False,3.5
SHP1110,2026-03-12,Thursday,False,South,Road,Carrier A,Electronics,269.1,87.1,27.51,3.0,1.44,-1.56,False,6.3,False,4.0
SHP1111,2026-03-31,Tuesday,False,North,Sea,Carrier D,Machinery,3386.6,654.4,250.24,10.0,8.31,-1.69,False,9.2,False,4.0
SHP1112,2026-06-07,Sunday,True,Central,Road,Carrier B,Machinery,613.8,1585.2,119.71,3.0,2.21,-0.79,False,10.8,False,4.0
SHP1113,2026-05-29,Friday,False,West,Sea,Carrier B,Machinery,3689.5,1520.3,323.55,10.0,9.21,-0.79,False,8.5,False,5.0
SHP1114,2026-05-06,Wednesday,False,West,Road,Carrier C,Consumer Goods,796.2,644.5,70.22,3.0,2.86,-0.14,False,10.3,False,4.0
SHP1115,2026-04-07,Tuesday,False,Central,Rail,Carrier D,Perishables,607.8,1161.6,95.91,4.5,1.68,-2.82,False,9.4,False,5.0
SHP1116,2026-03-15,Sunday,True,West,Road,Carrier A,Perishables,407.9,485.4,49.1,3.0,2.26,-0.74,False,9.5,False,4.0
SHP1117,2026-04-25,Saturday,True,North,Air,Carrier B,Electronics,1706.8,135.1,236.19,1.5,1.71,0.21,True,7.9,False,4.5
SHP1118,2026-06-19,Friday,False,Central,Road,Carrier C,Textiles,574.2,634.0,55.39,3.0,1.71,-1.29,False,10.1,False,4.5
SHP1119,2026-02-20,Friday,False,East,Road,Carrier C,Perishables,707.7,805.2,76.22,3.0,2.84,-0.16,False,10.3,False,4.0
SHP1120,2026-02-25,Wednesday,False,West,Road,Carrier C,Perishables,464.7,754.3,51.03,3.0,1.14,-1.86,False,10.1,False,4.0
SHP1121,2026-02-10,Tuesday,False,Central,Road,Carrier A,Consumer Goods,422.5,337.6,43.37,3.0,2.03,-0.97,False,7.9,False,4.5
SHP1122,2026-02-01,Sunday,True,South,Sea,Carrier A,Consumer Goods,1720.4,584.8,200.16,10.0,6.7,-3.3,False,10.5,False,4.5
SHP1123,2026-01-15,Thursday,False,North,Road,Carrier B,Electronics,472.5,156.9,35.94,3.0,1.86,-1.14,False,9.3,False,4.5
SHP1124,2026-03-03,Tuesday,False,South,Sea,Carrier D,Textiles,2719.6,807.5,245.75,10.0,8.47,-1.53,False,6.6,False,4.0
SHP1125,2026-06-04,Thursday,False,East,Road,Carrier A,Consumer Goods,573.7,545.5,54.95,3.0,1.73,-1.27,False,7.7,False,4.5
SHP1126,2026-01-28,Wednesday,False,West,Road,Carrier A,Electronics,368.1,290.5,34.17,3.0,1.02,-1.98,False,7.4,False,4.5
SHP1127,2026-03-05,Thursday,False,Central,Air,Carrier D,Electronics,1631.6,289.4,271.77,1.5,0.89,-0.61,False,4.5,False,3.5
SHP1128,2026-05-10,Sunday,True,North,Rail,Carrier A,Electronics,388.9,176.9,71.35,4.5,2.69,-1.81,False,10.5,False,5.0
SHP1129,2026-05-07,Thursday,False,East,Road,Carrier D,Machinery,87.7,590.5,25.78,3.0,1.61,-1.39,False,14.7,False,4.0
SHP1130,2026-02-05,Thursday,False,South,Rail,Carrier C,Electronics,1551.3,282.8,75.58,4.5,3.94,-0.56,False,10.9,False,5.0
SHP1131,2026-04-24,Friday,False,South,Air,Carrier D,Consumer Goods,1890.8,459.6,371.17,1.5,0.93,-0.57,False,8.8,False,4.0
SHP1132,2026-01-13,Tuesday,False,North,Road,Carrier A,Textiles,530.9,232.3,37.39,3.0,1.87,-1.13,False,7.5,False,4.0
SHP1133,2026-01-15,Thursday,False,South,Sea,Carrier A,Textiles,2405.2,309.2,214.95,10.0,6.57,-3.43,False,6.6,False,4.0
SHP1134,2026-03-30,Monday,False,Central,Sea,Carrier C,Perishables,4550.6,264.0,235.1,10.0,11.51,1.51,True,8.8,False,4.0
SHP1135,2026-01-22,Thursday,False,South,Rail,Carrier D,Textiles,1143.3,289.1,75.86,4.5,3.42,-1.08,False,10.4,False,4.5
SHP1136,2026-03-15,Sunday,True,East,Road,Carrier C,Machinery,289.5,1204.9,66.06,3.0,2.25,-0.75,False,7.2,False,5.0
SHP1137,2026-01-25,Sunday,True,West,Rail,Carrier A,Consumer Goods,529.2,602.5,75.54,4.5,2.46,-2.04,False,13.6,False,4.5
SHP1138,2026-04-11,Saturday,True,South,Road,Carrier C,Consumer Goods,303.5,356.6,37.69,3.0,2.53,-0.47,False,5.7,False,4.5
SHP1139,2026-06-25,Thursday,False,Central,Road,Carrier C,Machinery,444.3,1600.9,96.92,3.0,1.49,-1.51,False,8.9,False,3.5
SHP1140,2026-06-20,Saturday,True,Central,Road,Carrier C,Consumer Goods,483.4,698.2,64.16,3.0,2.48,-0.52,False,8.6,False,4.0
SHP1141,2026-04-27,Monday,False,South,Road,Carrier C,Consumer Goods,457.7,587.1,43.36,3.0,1.96,-1.04,False,8.5,False,4.5
SHP1142,2026-06-15,Monday,False,East,Sea,Carrier D,Consumer Goods,5058.5,173.1,199.74,10.0,12.42,2.42,True,7.4,False,3.0
SHP1143,2026-02-10,Tuesday,False,South,Air,Carrier C,Electronics,1299.5,149.0,180.77,1.5,0.86,-0.64,False,8.7,False,5.0
SHP1144,2026-06-22,Monday,False,South,Air,Carrier A,Electronics,1039.3,219.7,189.44,1.5,0.81,-0.69,False,7.6,False,3.5
SHP1145,2026-03-29,Sunday,True,North,Road,Carrier B,Electronics,450.0,262.4,38.28,3.0,2.94,-0.06,False,11.1,False,4.5
SHP1146,2026-06-17,Wednesday,False,West,Road,Carrier A,Machinery,111.4,799.2,35.12,3.0,0.99,-2.01,False,11.7,False,4.0
SHP1147,2026-04-20,Monday,False,East,Road,Carrier B,Textiles,589.1,383.0,46.36,3.0,2.54,-0.46,False,7.7,True,4.5
SHP1148,2026-04-30,Thursday,False,North,Sea,Carrier B,Textiles,3617.6,231.1,222.75,10.0,9.24,-0.76,False,5.2,False,4.5
SHP1149,2026-04-07,Tuesday,False,South,Road,Carrier A,Consumer Goods,382.4,435.1,42.12,3.0,1.05,-1.95,False,9.1,False,4.5
SHP1150,2026-05-25,Monday,False,Central,Sea,Carrier B,Consumer Goods,3027.7,142.9,226.58,10.0,8.08,-1.92,False,9.1,False,4.0
SHP1151,2026-02-26,Thursday,False,South,Rail,Carrier A,Consumer Goods,1218.5,81.7,48.72,4.5,3.65,-0.85,False,8.7,False,4.0
SHP1152,2026-05-10,Sunday,True,North,Road,Carrier D,Perishables,625.6,525.6,57.14,3.0,3.72,0.72,True,9.6,False,4.0
SHP1153,2026-04-06,Monday,False,East,Air,Carrier D,Machinery,1627.5,801.5,499.46,1.5,1.63,0.13,True,11.3,False,4.0
SHP1154,2026-05-01,Friday,False,Central,Road,Carrier A,Perishables,568.4,1051.3,81.78,3.0,1.33,-1.67,False,10.2,False,4.5
SHP1155,2026-03-03,Tuesday,False,South,Sea,Carrier D,Electronics,4536.0,236.8,213.29,10.0,11.12,1.12,True,9.6,False,3.5
SHP1156,2026-05-17,Sunday,True,West,Sea,Carrier B,Electronics,3902.6,263.4,239.65,10.0,11.69,1.69,True,10.0,True,2.5
SHP1157,2026-03-09,Monday,False,West,Road,Carrier A,Perishables,408.9,170.5,33.41,3.0,1.22,-1.78,False,9.0,False,5.0
SHP1158,2026-03-22,Sunday,True,South,Road,Carrier A,Textiles,526.2,203.0,35.58,3.0,2.68,-0.32,False,6.6,False,4.5
SHP1159,2026-01-17,Saturday,True,West,Rail,Carrier B,Consumer Goods,536.3,406.0,77.57,4.5,3.58,-0.92,False,11.4,False,3.5
SHP1160,2026-04-27,Monday,False,South,Sea,Carrier C,Electronics,3585.3,70.8,230.57,10.0,9.53,-0.47,False,8.7,False,4.5
SHP1161,2026-02-19,Thursday,False,West,Road,Carrier C,Consumer Goods,403.4,592.4,49.6,3.0,2.26,-0.74,False,6.6,False,4.5
SHP1162,2026-04-22,Wednesday,False,West,Rail,Carrier A,Textiles,763.5,211.8,58.74,4.5,2.56,-1.94,False,6.2,False,4.0
SHP1163,2026-04-04,Saturday,True,East,Rail,Carrier A,Perishables,295.7,700.7,73.12,4.5,2.59,-1.91,False,6.7,False,4.5
SHP1164,2026-06-17,Wednesday,False,North,Air,Carrier B,Textiles,1080.7,370.0,255.01,1.5,0.5,-1.0,False,6.0,False,4.0
SHP1165,2026-03-26,Thursday,False,Central,Road,Carrier A,Perishables,352.8,560.6,44.69,3.0,2.03,-0.97,False,9.8,False,4.5
SHP1166,2026-05-29,Friday,False,South,Air,Carrier A,Machinery,2426.5,1713.5,1421.22,1.5,0.77,-0.73,False,8.1,False,4.0
SHP1167,2026-05-26,Tuesday,False,North,Sea,Carrier A,Textiles,3843.0,158.0,201.29,10.0,9.43,-0.57,False,10.1,False,4.0
SHP1168,2026-06-06,Saturday,True,North,Road,Carrier D,Electronics,637.9,183.5,38.59,3.0,2.66,-0.34,False,10.8,False,4.5
SHP1169,2026-06-01,Monday,False,East,Road,Carrier D,Electronics,698.6,170.0,32.59,3.0,2.23,-0.77,False,10.3,False,4.0
SHP1170,2026-03-15,Sunday,True,West,Sea,Carrier B,Textiles,3895.2,537.3,284.19,10.0,11.07,1.07,True,9.8,False,3.5
SHP1171,2026-04-19,Sunday,True,North,Road,Carrier D,Consumer Goods,478.1,142.1,38.63,3.0,2.44,-0.56,False,9.1,False,4.5
SHP1172,2026-05-25,Monday,False,East,Sea,Carrier B,Perishables,2332.4,669.7,238.54,10.0,7.63,-2.37,False,8.1,False,5.0
SHP1173,2026-01-18,Sunday,True,South,Road,Carrier B,Consumer Goods,847.3,466.3,64.19,3.0,3.7,0.7,True,8.3,False,4.5
SHP1174,2026-02-11,Wednesday,False,West,Road,Carrier A,Machinery,166.4,1040.3,43.63,3.0,1.74,-1.26,False,9.7,False,5.0
SHP1175,2026-04-11,Saturday,True,North,Sea,Carrier C,Consumer Goods,3642.5,133.0,240.45,10.0,10.34,0.34,True,6.6,False,4.0
SHP1176,2026-02-14,Saturday,True,West,Road,Carrier D,Consumer Goods,616.6,206.8,38.53,3.0,1.91,-1.09,False,8.4,False,4.0
SHP1177,2026-03-23,Monday,False,South,Road,Carrier C,Textiles,619.3,213.7,36.77,3.0,1.41,-1.59,False,7.0,False,4.5
SHP1178,2026-01-17,Saturday,True,Central,Road,Carrier B,Machinery,219.0,1449.6,55.04,3.0,1.93,-1.07,False,10.8,False,4.0
SHP1179,2026-03-14,Saturday,True,North,Rail,Carrier C,Consumer Goods,753.0,218.1,73.74,4.5,2.82,-1.68,False,9.9,False,4.5
SHP1180,2026-01-14,Wednesday,False,South,Road,Carrier A,Textiles,290.2,511.7,39.28,3.0,1.78,-1.22,False,12.8,False,4.5
SHP1181,2026-06-26,Friday,False,North,Road,Carrier D,Perishables,53.9,570.4,26.03,3.0,0.79,-2.21,False,7.0,False,5.0
SHP1182,2026-06-06,Saturday,True,Central,Sea,Carrier B,Electronics,3656.4,246.6,215.23,10.0,10.13,0.13,True,7.2,False,4.5
SHP1183,2026-05-12,Tuesday,False,Central,Road,Carrier B,Consumer Goods,306.5,951.9,45.82,3.0,1.62,-1.38,False,8.6,False,4.5
